word,mean,explanation,level,category
"例題：2.0μCと3.0μCの電荷が1.0m離れている時の静電気力は？($k=9.0\times10^9$とする)","5.4 \times 10^{-2} N","$F = k \frac{q_1 q_2}{r^2}$ より、$9.0\times10^9 \times \frac{2.0\times10^{-6} \times 3.0\times10^{-6}}{1.0^2} = 0.054$ [N]となります。",1,example
"例題：4.0μCの電荷から3.0m離れた点の電場の強さは？","4.0 \times 10^{3} V/m","$E = k \frac{Q}{r^2}$ より、$9.0\times10^9 \times \frac{4.0\times10^{-6}}{3.0^2} = 4000$ [V/m]となります。",1,example
"例題：10Vの電位差がある2点間で、2.0Cの電荷を運ぶのに必要な仕事は？","20 J","$W = qV$ より、$2.0 \times 10 = 20$ [J]となります。",1,example
"例題：面積2.0m^2、間隔1.0mm、比誘電率1のコンデンサの容量は？($\varepsilon_0=8.85\times10^{-12}$とする)","1.77 \times 10^{-8} F","$C = \varepsilon_0 \frac{S}{d}$ より、$8.85\times10^{-12} \times \frac{2.0}{1.0\times10^{-3}} = 1.77\times10^{-8}$ [F]となります。",2,example
"例題：4.0μFのコンデンサに30Vの電圧をかけた時に蓄えられる電荷は？","1.2 \times 10^{-4} C","$Q = CV$ より、$4.0\times10^{-6} \times 30 = 1.2\times10^{-4}$ [C]となります。",1,example
"例題：2.0μFと3.0μFのコンデンサを並列に接続した時の合成容量は？","5.0 \mu F","並列接続では単純和となるため、$2.0 + 3.0 = 5.0$ [μF]となります。",1,example
"例題：6.0μFと3.0μFのコンデンサを直列に接続した時の合成容量は？","2.0 \mu F","直列では和分の積より、$\frac{6.0 \times 3.0}{6.0 + 3.0} = \frac{18}{9} = 2.0$ [μF]となります。",1,example
"例題：10Ωの抵抗に2.0Aの電流が流れている時の消費電力は？","40 W","$P = I^2 R$ より、$2.0^2 \times 10 = 40$ [W]となります。",1,example
"例題：100Vの電源に50Ωの抵抗を繋いだ時、1分間に発生する熱量は？","12000 J","$Q = \frac{V^2}{R}t$ より、$\frac{100^2}{50} \times 60 = 200 \times 60 = 12000$ [J]となります。",1,example
"例題：半径0.1mの円形コイルに5.0A流した時、中心の磁場の強さHは？","25 A/m","$H = \frac{I}{2r}$ より、$\frac{5.0}{2 \times 0.1} = 25$ [A/m]となります。",1,example
"例題：10Aの直線電流から2.0m離れた点の磁場の強さHは？","0.80 A/m","$H = \frac{I}{2\pi r}$ より、$\frac{10}{2 \times 3.14 \times 2.0} \approx 0.796$ [A/m]となります。",1,example
"例題：長さ0.2mの導線に3.0A流し、0.4Tの一様磁場に垂直に置いた時の力は？","0.24 N","$F = IBl \sin 90^\circ$ より、$3.0 \times 0.4 \times 0.2 = 0.24$ [N]となります。",1,example
"例題：磁束が0.1秒間に0.5Wbから0.8Wbに変化した時、1回巻きコイルの誘導起電力は？","3.0 V","$V = |-\frac{\Delta \Phi}{\Delta t}|$ より、$\frac{0.8-0.5}{0.1} = 3.0$ [V]となります。",1,example
"例題：自己インダクタンス0.2Hのコイルに流れる電流が0.1秒間に1A変化した時の起電力は？","2.0 V","$V = |-L \frac{\Delta I}{\Delta t}|$ より、$0.2 \times \frac{1}{0.1} = 2.0$ [V]となります。",2,example
"例題：2.0μFのコンデンサを100Vで充電した時に蓄えられるエネルギーは？","0.01 J","$U = \frac{1}{2}CV^2$ より、$\frac{1}{2} \times 2.0\times10^{-6} \times 100^2 = 10^{-6} \times 10000 = 0.01$ [J]となります。",1,example
"例題：周波数50Hzの交流電源に接続された0.1Hのコイルのリアクタンスは？($\pi=3.14$とする)","31.4 \Omega","$X_L = 2\pi f L$ より、$2 \times 3.14 \times 50 \times 0.1 = 31.4$ [Ω]となります。",2,example
"例題：100μFのコンデンサの、周波数50Hzにおけるリアクタンスは？($\pi=3.14$とする)","31.8 \Omega","$X_C = \frac{1}{2\pi f C}$ より、$\frac{1}{2 \times 3.14 \times 50 \times 100\times10^{-6}} \approx 31.8$ [Ω]となります。",2,example
"例題：変圧器の1次側に100Vかけ、巻き数比が1:5の時、2次側の電圧は？","500 V","$V_2 = \frac{N_2}{N_1}V_1$ より、$100 \times 5 = 500$ [V]となります。",1,example
"例題：磁束密度0.5Tの中を、電荷2.0Cが速度10m/sで垂直に動く時のローレンツ力は？","10 N","$F = qvB$ より、$2.0 \times 10 \times 0.5 = 10$ [N]となります。",1,example
"例題：実効値100Vの正弦波交流の最大電圧(振幅)は約何Vか？","141 V","$V_0 = \sqrt{2} V_{rms}$ より、$100 \times 1.414 \approx 141$ [V]となります。",1,example
