word,mean,explanation,level
"クーロンの法則","$F = k \frac{q_1 q_2}{r^2}$","2つの電荷間に働く力。電荷の積に比例し、距離の2乗に反比例します。同じ符号なら反発力、異なる符号なら吸引力となります。",1
"電界（電場）の定義","$\mathbf{F} = q\mathbf{E}$","空間の各点に定義される力の場。1Cのプラス電荷を置いたときに受ける電気力の大きさと向きを指します。",1
"点電荷がつくる電界","$E = k \frac{q}{r^2}$","点電荷から出る電気力線が放射状に広がるため、球面積 $4\pi r^2$ に反比例して弱くなっていく電界の強さです。",1
"電位（電位差）の定義","$V = \frac{W}{q}$","電気的な高さ（位置エネルギー）。1Cの電荷を無限遠からその点まで運ぶのに必要な仕事に相当します。",1
"点電荷による電位","$V = k \frac{q}{r}$","点電荷からの距離 $r$ に反比例するスカラー量。電界を積分することで得られる『電気的な高さ』です。",1
"電界と電位の関係","$E = -\frac{\Delta V}{d}$","電界は電位の傾き（勾配）です。坂道が急なほど（電位変化が激しいほど）電界が強いことを意味します。",1
"電気力線の本数","$N = \frac{Q}{\varepsilon_0}$","電荷 $Q$ から発生する架空の線の総数。ガウスの法則に基づき、媒質の誘電率によって本数が決まります。",1
"ガウスの法則（積分形）","$\oint \mathbf{E} \cdot d\mathbf{A} = \frac{Q}{\varepsilon_0}$","閉曲面を貫く電束の総量は、その内部にある電荷の総量だけで決まり、外部の電荷には依存しないという法則です。",1
"コンデンサの容量","$C = \varepsilon \frac{S}{d}$","電荷を貯める能力。極板面積 $S$ が広いほど、間隔 $d$ が狭いほど、多くの電荷を引き付け合って蓄えられます。",1
"コンデンサの蓄電量","$Q = CV$","極板に蓄えられる電荷の量。容量 $C$ が一定なら、かける電圧（押し込む力）に比例して増加します。",1
"コンデンサのエネルギー","$U = \frac{1}{2}CV^2$","極板間に形成された電界の中に蓄えられているエネルギー。電圧の2乗に比例して増大します。",1
"コンデンサの並列合成","$C = C_1 + C_2$","並列接続は『極板面積を広げる』ことと同義であるため、単純な足し算で容量が増えます。",1
"コンデンサの直列合成","$\frac{1}{C} = \sum \frac{1}{C_i}$","直列接続は『極板間隔を広げる』ことと同義であり、全体の容量は各要素よりも小さくなります。",1
"電流の定義","$I = \frac{dQ}{dt}$","ある断面を単位時間あたりに通過する電荷の量。電荷の流れの『勢い』を表します。",1
"オームの法則","$V = RI$","導体に電流を流すには電圧が必要であり、その比（抵抗）は物質によって一定であるという基本法則です。",1
"抵抗率の公式","$R = \rho \frac{l}{S}$","電気の通りにくさ。導線の長さ $l$ に比例し、通り道となる断面積 $S$ に反比例します。",1
"ジュールの法則","$P = I^2 R$","抵抗を流れる電流が、自由電子と原子の衝突によって熱エネルギー（ジュール熱）に変わる現象です。",1
"キルヒホッフ第1法則（KCL）","$\sum I = 0$","回路の分岐点において、流れ込む電流と流れ出る電流の総和は等しい（電荷の行き止まりはない）という法則です。",1
"キルヒホッフ第2法則（KVL）","$\sum V = 0$","回路の1周において、起電力による上昇と抵抗による降下の総和はゼロになる（エネルギー保存）という法則です。",1
"ローレンツ力（磁気）","$\mathbf{F} = q(\mathbf{v} \times \mathbf{B})$","磁界中を動く電荷が受ける力。速度 $\mathbf{v}$ と磁束密度 $\mathbf{B}$ の両方に垂直な方向に力が働きます。",1
"アンペールの法則","$\oint \mathbf{B} \cdot d\mathbf{l} = \mu_0 I$","電流の周りには右ネジの方向に磁界が発生し、その強さは貫く電流の大きさに比例するという法則です。",1
"無限長直線電流の磁場","$B = \frac{\mu_0 I}{2\pi r}$","直線電流から距離 $r$ の地点の磁束密度。距離に反比例して同心円状に弱くなります。",1
"円形電流の中心磁場","$B = \frac{\mu_0 I}{2r}$","半径 $r$ の円形コイルの中心に生じる磁場。巻き数 $N$ があればこれに $N$ 倍されます。",1
"ソレノイド内部の磁場","$B = \mu_0 nI$","無限に長いソレノイドの内部では、磁場は一様（どこでも同じ強さ）になり、単位長さあたりの巻き数 $n$ に比例します。",1
"磁束の定義","$\Phi = BS$","ある面積 $S$ を垂直に貫く磁力線の束の合計。磁束密度 $B$ に面積をかけた量です。",1
"ファラデーの電磁誘導法則","$V = -N \frac{d\Phi}{dt}$","磁束が変化すると、その変化を打ち消そうとする方向に誘導電圧が発生するという法則。マイナスは抵抗勢力を意味します。",1
